reviewTitle,reviewBody
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning."
Just buy it,Just what i needed. Fast shipping.
Good Product,It is very easy to use and clean So far the food has been good
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last."
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving."
Easy to use.,It’s very handy. Light and easy to use.
comfortable,works great
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing.."
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy"
Easy to use,"Good product, fast shipping,easy to use"
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV
Best ever,Smells so good amd hair is shiny�
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen."
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries."
As advertised,"Simple, clean design, no defects. Easy to install."
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods."
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.
Is good to buy it,I really do like and it worki really good
Nice deal,"Mats work nice using for dead lifts, protects floor from damage"
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.
Perfect attire for end of the day!,The best outfit for the end of the day..soft and comfy!
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price."
Dad likes it.,"Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day."
Stream from duck’s bill is tiny.,"The only aspect that was disappointing was the size of the stream from the ducks bill, tiny and beyond tiny. My cat loves to drink from the bottom of the fountain but not the stream. He likes to drink from the bathroom faucet so i thought he would on this. Maybe he can’t see the timy stream!"
Nice Quality,"Nice quality, effective and durable"
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted."
Very good,I really like this. The audio is clear and crispy. Easy to set up. The only complaint is that the stand is sometimes annoying (it is hard to make it stand up without falling)
Easy on/off and durable,"I bought these to use when I help in the warehouse handling large, awkward boxed items. The grip is good and they seem to be wearing well. No holes or tears after a few weeks of daily use. I have blown through some other gloves in little more than a day. Overall I’m pleased with these."
!BUY IT!,"Price is unreal for this product! Fluffy and light weight. As soon as I got it, I threw it in the wash. This is usually the part where I can tell if it’ll be total crap because cheap ones will dry funky or clump up without ever getting fluffed up as once bought. This comforter was an easy wash and dried up great (especially since I had to re wash it after forgetting in the washer ????)! Looks and feels great! Was originally going to be a spare but it’s in my regular rotations now, when my kids aren’t trying to take it! I’m hoping they come out with more prints but if not, might just have to pick up another one."
10/10 Hisoka,This is the best purchase I’ve ever made! He’s perfect for guarding your cat litter (and sleeping with). My cats may sometimes attack him but that’s their problem ????
Great product,Works great
Top small bottom normal sizing,Very small in arms and shoulders
Love them,They arrived perfectly! Love them
Amazing little mop,I was SHOCKED when I was finished mopping for the first time using the Sandoo mop for my mop pad was filthy! My floors looked so much better amd they were dry within a matter of minutes
Excellent product,Very comfortable:) Doesn’t feel like an air mattress at all!
�,Great sticker! Fit nicely on my hard hat...
The only trap that works,No mess. This really works.
"Good for everyday use, not great on airlines anymore","It was perfect, especially getting throughout the airlines at first. I could actually breathe with this one. But then the airlines have recently caught on and are not allowing people to board with these mesh style masks. Otherwise, I love them and and use them anywhere else people are still demanding masks."
Very good chair,"great overall chair, very convenient arm rest and comfortable seating. 10/10"
I WILL be buying more of these!,"I LOVE these pants! I’m 5’6” and 176lbs, with thicker legs and a smaller waist. I purchased an xl and they fit perfectly. They feel so good on and compliment all the right places."
"Very quiet, nice design","Needed a new microwave  bought this one and right away I noticed how it doesn't make a lot of noise while operating and you can turn off the ""beeping when finished "" feature so you don't have to hear that either. It has a metal-like looking door which goes well with stainless steel appliances. It has a sensor pad built in that I have used to cook potatoes so it knows how long to cook them you can use it for other foods too. It comes with a great operating manual, actually 2 speperate ones -in English and one in Spanish. I'm still learning all the bells and whistles but I'm very pleased with my purchase."
Out of stock.,Great coloring and variations of size of boards. These boards are thicker then most which is what I was looking for. However...I gave a 3 because they are out of stock. I ordered about a month ago to see if I’d like it (actually ordered 3 different rolls) and decided I really liked this one. Went to reorder and it is “currently unavailable” in the brown. I’ve tried reaching out to see if it will become available in the newest future but no one has responded.
Love it,Love it
It's pretty cute. I like it,"Very delicate packaging, every day to open the door into the home on a light fragrance, the mood will become good, feel very good"
Very stiff.,"I am sending this back. It's supposed to be tangle free but when I took it out of the package, this hair was extremely stiff. You could barely separate the pre separated pieces because the ends felt matted together. I am disappointed because I saw so many Youtube videos that said this hair was great to use. It's a hard pass for me."
Cute summer decor,Super cute and exactly as shown.
Great diffuser,Easy to set up. Diffuses oil nicely - lightweight long cord if need to reach a plug
Love this product,Less hassle with all the chargers together. Charges fast and looks good too.
Great maneuverability and easily removable tray,"Loved this chair from the first try! All what was important for me was there and I’m happy! Maneuverability is good on the carpet and kitchen tile. Tray can be removed with one hand and hidden behind the chair with one click! It was easy to clean small mess off of it, will see how it works with yogurt or tomato sauce eventually. Overall I’m very happy!"
Super cute,It has a nice bit of stretch. Absolutely looks like you'd imagine.
A hit!,This was the talk of my husband's 40th!  Loved!
simulates a rain shower.,"This is the best I have found over all the years I've been planting delicate flowers and vegetables.  Most other shower heads beat tender vegetation down, doing more damage than good.  Made to last of metal it has a comfortable coating for a better grip."
Just what I needed...,"I just needed a simple trash can to place in front of our food truck. Although it didn't come with a lid or wheels we bought those separately. Is it pricey? Possibly but whatever, I'm satisfied."
Just what I needed,The heavy bottom is effective at precise temperature control during heating. The stainless steel is easy to clean and able to withstand scratching from power mixers
Great and handy,Love how it works and how fast it came.  Super easy to use.
Print quality and speed are excellent.,"Have trouble with multi pages on auto feed.  Only takes first page, then jams."
Good straws for the price.,"The straws are quite easy to use, clean and maintain. Quality seems good so far. Daughter loves her rainbow one."
it works!,"easy to apply, no mess, no smell.  it's working!!"
All the garden tools a girl needs,The set has all the item my daughter needed. I thought they are toys and did not expect the quality to be useable. But it came a surprise. Now my daughter would take her tools out to work with me in the garden every day.
Excellent,Excellent
Nice product,"These socks are comfortable. Additionally, I do feel that there are benefits for health conditions  - my feet do not hurt as much as before. The one drawback is that the socks are fraying after just a few washes."
Cute sweater,Very cute little sweater. Good quality.
Todo lo demás bien,Él pega no sale muy bueno
Where’s the poster?,"I like Buffalo puzzles, particularly Aimee Stewart’s puzzles.  I’m surprised and disappointed that there was not a poster included. The listing said one would be included. I’ve noticed a few others have made the same comment."
Stains on the ceiling,"The kids love them, but, beware the stains."
It doesn’t work the printer will not except it. Now I’m out the $,Waist of $ will not work
Poor screen cover,Case is good but screen cover didn't last a day. Wouldn't read finger print and didn't adhear to screen. We could be nice if top plate held cover down.
Great Except for Tiny Slots in Bottom,I like this little caddy. Nice tough plastic. Would have been perfect except for the little slots in the bottom which I covered with plastic. Using it to store computer repair tools.
Perfect,"To say I love this is an understatement.  Looks great, easy to install and fits great where I put it."
Looks correct broke easily,Was beautiful but broke within a couple of days. Might be because my wrists are large?
"Large bag, but I question durability","The value for the money is good, I gave them 4 stars only because opening the bag is hard and it tears easily."
Dog responds to cues,"So far so good , its been a few days and dog is responding well"
Worked great!,Easy to use. Found the after spray inside packed inside of the warmer.
the worst,the heat melted the finish and stained my cook top. i would give it a zero stars if i could
"Good quality, fun, simple!",Very pretty! Very easy. Love how it was packaged. It came with 3 strands separated in individual packaging. The strands are nice and long. Good quality too. Love that I can use them multiple times.
"Dried up paint, completely unusable",I cannot review the product as all the paint is dried up and completely unusable
Great deal,"These gloves are exactly what i was looking for. Very comfortable to wear, good grip, really helped reduction of corns on my palms."
*For ATH-M50X* About low-star reviews.,"Okay, so let's nip this in the bud. The people who left bad reviews because their ""sound stage changed"" and ""it sounds like X, Y, and also Z!"" - take it with a grain of salt. There's a few reasons for this. First and foremost... duh. It's like moving your speaker that was 2 feet away and surrounded in concrete, to 4 feet away and surrounded in wood. Anyone who orders these thinking the sound will not change shouldn't be writing clarity-centric reviews trying to sound like an audiophile. Because an audiophile wouldn't even get these. Master Technicians don't get Harbor Freight tools, they get Snap-On."
the Ratchet belt is very nice and resistent to use all time,"nothing bad to report, it's a good belt."
It works and that is what I am all about.,I love it as safety precautions
Works great! Super easy to assemble,"When I first saw the box, I thought, ""This is going to break easily"". Nope. It is super strong. I weigh almost 300 lbs and I can sit on it without a problem. And I assembled it in less than 5 minutes."
High quality and great value,My Sig P365 fits like a glove. The lock feature works great and I am very pleased with the comfort.
Sizes are real small,This was way small
They don't work in my AC5000E,"Tried both filters in my unit and neither worked, unit wouldn't turn on. put the old filter back in and unit turned on as normal. These are much flimsier then the OEM filters and I think the might be stooping the sensors from letting unit turn on."
It's not quite to my taste,It's a little spicy. Flavor isn't quite my preference but this is subjective so I can't knock it for that.
Love it,Love love love this belt the make is super awesome the firmness everything about this belt is well made true to size color is good. Happy happy happy with this buy
broken already!,bought this in 2020 but didn’t start using it until 2 months ago. I weight 115 lbs & husband weighs 155 lbs. both chairs are broken from the plastic elbow. not sure what happened.
Perfect size,Perfect size for my business
They work well,At first I wasn’t sure they were  going to stick together as I needed. But after figuring out where the adhesive was I was able to wrap my dinner ware. This is a pre-preparation project and when I went to get the dinnerware they wraps were still snug so I was very happy. With COVID we have to wear gloves and these wraps don’t stick and tear. Good product
Learn to use,Very nice product if you follow directions.
Excellent Performer,"I got this because I was just starting out in ice fishing and didn't want to spring for a power auger right away.  It is easy to use, and I can cut an 8-in hole in 7 in thick ice in about 2 minutes.  I am very happy with my choice."
Stopped working after 3 months,"Always liked these heaters. The 500w I got for a 40b worked great since purchased in late March. Came home and nothing. No lights, won't turn on. My saltwater tank water was at 65 degrees. Two dead fish due to the stress. Would like an exchange or refund!"
Good cat tower for a good price,"A decent quality cat tower, not the top of the line but good for the price point."
Relief,Effective; easy to use; well priced healthy alternative to other products on the marker.
What is Galentine’s day,Needs to be under Galentine’s day not Valentine’s Day guess I’m the sucker that bought it but no thank you it’s going back
Fits very well!,I like how it fits and feel and material is cool enough for you to breath. Good product and well worth to buy.
Love them,Pretty cool lights for my diy backdrop.
very pleased,received it very fast.  well-packaged.  very pleased.
Indoor fun!,Bought for my grandson for his birthday.  He loved it.  He did say balls were too bouncy for the space he had in his room.
Just what I wanted,"Just perfect, very soft mesh and fits Just right. It's not too tight and not too loose. Worth the price for sure and the lettuce hem is very cute."
Cute but non-stick,"The nail design and shape on these is SO CUTE, but beware - the stickies it comes with do not work at all. Within 30 mins of applying, nails started coming off! So sad because I had such high hopes"
Beautiful,"I love the fabric, they are blackout even are ivory color. I love how they look in my bedroom."
Easy to use,"After receiving the drying rack, I checked that the parts are complete, and the assembly is very simple. There is an installation manual with a glance. The installation is very strong and durable. It is more than enough for hanging schoolbags, hats, clothes and suitcases.  Occupying space, so many clothes finally have a place to put them, the house is no longer messy, it is very practical and I like it."
Modern and older shape all in  one.,Fits well with my bath
Buena calidad,Muy bonito
IT WORKED!,CANT BELEVE THIS WORKED! I struggled with a diagnosed BV/ yeast infection for about 6 months and NOTHING was working including oral fungal pills from my doctor. I had this product referred to me by a friend and in 3 weeks i was officially free from 100% of my symptoms. i never had flare ups (which amplified before and after my period) again. I took it in unison with boric acid pills which also CLEARED me completely. SO HAPPY!
Excellent!  Study and effective,"Great strainer.  I've now purchased 2.  Perfect for straining whey out of homemade yogurt, and 100 other uses."
Nice product,It's liked by the one for whom it was bought
Good for low weights,It is useful for <10 lb but not good for heavy weights as it says
Didnt work.,Dog had it on for about 30 mins. The vibration didnt effect him at all. Neither did the warning beeps. Would not reccomend for strong willed dogs.
Good alternative for discontinued IKEA Ektorp sofa covers.,"I've had the slipcover on my IKEA Ektorp corner sofa for about a month. It looks great! It doesn't fit perfectly, but it fits about as well as the IKEA slipcover did. While I prefer the feel of cotton, the polyester isn't too bad. Overall, I have to say that I'm pretty impressed & would order from this company again."
Great decanter.,Perfect size for a standard sized bottle of wine.  Easy to hold and pour with the bottom finger dimple.  Love this style of decanter.
Simple but wonderful,My wife loves it
Bright LED strip. Best I've seen so far.,The adhesion is about average for these strip lights. The brightness is great. If you plan on running the whole strip white at full brightness you will need to wire power to both ends minimum. The colored patterns look great even with power just on one end.
Perfection.,Perfect! Product came rather quickly and in perfect condition. And it has these cute little extra clips! So cute and definitely worth the price!
A very good product,This was a gift they really liked it
Great cords,Very very good for the price. Have lasted for awhile so far.
Better than your standard raincoat,This rain jacket is lined but lightweight.
Exact replacement,Exact replacement for my Craftsman 917.370680 mower.
Works as Advertised,"I uses this with a deep cycle battery during a recent weather event that created rolling blackouts. We used it to keep phones an iPads charged. I could have used a smaller unit for that purpose, but I sized this so I could use it to run refrigerator if necessary."
Words need to be darker,Great frame. The words didn’t really show up consistently on the frame though. It’s laser cut but only some areas got hot enough to make a darker color. Makes it hard to read.
Great vest,I love the best it fits real comfortably. I thought it would of felt heavier but not. Good quality
LOVE THIS,This is the best product. I cant believe that something so great would be so inexpensive! The heat feature is so nice and my boyfriend who plays lots of sports uses it all the time. It feels so nice and really helps my neck and back
junk,This bike is cheap and does not help at all. Useless and its a waste of money should not be in the market.
It works,Ease of use
Fun Game,Good quality
Great bargain!,"Nice looking shoe at a fraction of the price of similar shoes.  Great value and looked as good as the other more expensive shoes. It fit well and is comfortable. Very lightweight. Sock shoes like these donʻt have the support like other sneakers, so, by the end of a full day, my feet hurt.  However, other shoes might have felt the same way.  Regardless, at that price, I would definitely buy it again."
Could be softer,"I like the idea of two threads, indeed it makes the flossing easier and cleans better. However I find the threads too hard. The ones I had before were softer and more gentle to my gums."
Great for tall people,My husband is 6'5". This upright walker allows him to stand straight and not hurt his back. He is very pleased.
Awesome,Worth buying
False advertising,"I'm so upset with these pieces of junk. Most weren't anywhere near the sizes advertised here and the one that were are completely unusable due to splits, chips and cracks. For the price they are charging for this petrified elephant excrement you could go to a craft store and get better ones. Heck, chip some concrete off the sidewalk and it would be better. Do not waste your money!"
Smells so good,Donated product but this cologne smells amazing
Holds up well,I use it daily as a Hospice Nurse. It reads well in this frail population.
It is comfortable and easy to place.,"It is comfortable and easy to place,"
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid."
Very close match. Very satisfied. Would order again.,Very satisfied. Easy to apply. Color very close.
Awesome,Exc product
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!"
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter."
Perfect,Nice and easy to use. Just what I wanted.
True fit,Fits like they should
Durable,One of my new pup’s favorite toys!
Great Product!,Great Value!
Awesome,Great product!! Very sturdy
Ext cord,Very good for a space air conditioner that was a little too far away from the outlet. No problems at all with it.
Was a gift,Fit great
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money."
No,The color is so bad in person
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets."
Disappointed,I love the design but after 3 months of regular use 2 of the bowls started chipping.
They set the bar!,Packaging was perfect! I'm so glad it came packaged in a box and not a bag! Shipping was fast and the product was.....BEAUTIFUL!
Blades,Works as advertised
Very good product.,Mosquito repellent and tick repellent.
Cuts the grease,This shampoo did a great job of helping to control how greasy my hair gets. It's way better than other shampoos aimed at greasy hair.
Small,Love these but smaller than I anticipated
Great product,Great product and service
Best diffuser for curly hair,Works great. So glad I got this.Way better than the diffuser attachments that you can buy. Also very handy that you can take the diffuser part off if you need.
Must have for safety on ladders,"After using a friends ladder with these, I've outfitted three of my extension ladders and will buy two more soon so I have them on all of them.  For working on uneven ground these work great and provide much safer stability than trying to shim one side with wood/etc.  These adjust very easy.  When it comes to ladder safety these are worth every penny vs having a ladder fall."
Perfect,Great poly bag set.
Amazing results,I am so impressed with my purchase
Worth every penny,Love these pillowcases don’t wake up sweating like I use to and able to sleep through the night.
great deal,"my only complaint would be that the box was covered in white dust/residue. somewhat of a concern considering I bought this for smokeables. but, the grinder is decent and the metal containers are great. I use this box as a bedside backup basically and it's pretty much perfect. you guys should throw in an ashtray that fits in one of the smaller sections and a poke tool and raise the price and it would be perfect!"
Great for a big man,I love how the mattress adjust to my body The sleep quality is the best
Lightweight & comfortable- Screws keep coming loose,I love my glasses but am disappointed because the screw on two of the three pair that came with my order keep coming loose and I had to buy a new one. Disappointed this is a reoccurring problem because I really like the glasses.
Poor quality,The connectors work well until you move the device that it’s plugged into then it loses connection and quit playing whatever media is being played
Not quite like the pictures.,The product looks good but definitely not like the pics. The color looks faded in comparison to the vibrant colors in the pics.
Perfect!,Great quality no issues installing at my car!
"Kind of thin, heats up really fast","The pot seems a little thin, which i think might be bad.  I'm not an expert, but things heat up faster than with my other pot, maybe that's good?  There is a tendency for stuff like chili to get too hot, even on my gas stoves' lowest setting, stuff bubbling like mad when on Warm...that's not good is it? I had to adjust to where there's hardly any flame at all to get my chili to just simmer( light bubbling).  So far no problem with sticking."
THESE ARE AMAZING!! CHANGED MY DOGS LIFE,"If your dog has seasonal or food allergies GET THESE! Skin rashes, hot spots, ear infections all gone. Made the mistake of forgetting to order some once and my dog immediately broke out until I bought more."
Buy one size larger than you wear for shrinkage.,This product is great for any working person. You must buy at least one size larger than you wear due to shrinkage during washing.
Perfect!,"Perfect for storing lunch,  snack and breakfast items for the school year!"
EXCEPTIONAL condition,Packaged with the BEST protection for the box and literally in pristine condition. I wish everyone protected their products like you!
Not a fun bike to ride.,The price I paid for this bike is not worth it. Too small tire and very low clearance. Short driver handel makes it difficult to control
Quality ingredients,Used this product for immune support burning these times. Since taking these I have not had a cold or any type of respiratory issues
Great Robe!,Love this robe! The weight is perfect - not bulky but plenty warm.
Lovely,Lovely
Great Product - Poor Documentation,This product works well although would sell better if the company hired me to do a grammer and spell check on the paperwork. The current documents make the product seem less than legit.
Buddha.,Very good .
Adequate for cars party.,Very funny for cars.
Yum,Best Atkins bar ever !!
Great buy!!!,My daughter absolutely loves these headphones!!! The regular kind don't stay in her ears for some reason so I bought these for her instead. Now all she ask me is if she can wear her headphones all day. She's 4 and likes to listen to music a lot. I was tired of hearing the same 4 songs over and over again so this was my solution and I don't regret it at all. Great buy!
Works great!,Works exactly like how I wanted! It made my dog calmer when I left him at home and not as anxious! Perfect!
Never seen cracks like this!,Spider web like cracks on the front of the plates!! haven't had them 1 month yet and they are cracking!! Should've just kept using paper plates and saved my money!!!
Chemical odor,Very strong chemical odor from bands.  Will be returning.
Easy to use,I like the handle so you can stay out of the water in the bowl.  Cleans stains great.
as pictured,Item arrived quickly. Exactly as pictured. There were only a few unusable pieces due to broken or defect.
Very Detailed Painting,Keep in mind that you will need small tools to put together the frames and attach the canvas.  The paint by numbers  process is great for beginners.  Some of the numbers may be a little hard to read in some spaces for those with eyesight challenges
Awesome,The security lights work as advertised
Grip should be on both sides not just one,Thought they would be good grip for my tri pod dog/ but they move constantly… the grip is only on one side so if they move-  no more grip.
Good,Notice difference in skin and hair
Excellent!,Very powerful immersion blender.  I love how easy it is to clean too!
Works perfectly for stereo rig.,This product was perfect for my inexpensive wet/dry stereo pedal board. This is my 2nd Dinner pedal and I am continuously impressed by the value.
"Beware, cheap looking!!","Received these shoes on Saturday and was excited to wear, but they look so cheap, uncomfortable, the sole is hard."
Waste of money,I bought 2 of these. DO NOT WASTE YOUR MONEY. These are just fans that do not push much air out.
Works easy,Nice an eazy
Great!,Box was damaged a bit but it was held in an Amazon bag. All of mine worked fine. The flashlights seem pretty bright and the alarms are all very loud.
AWESOME,"Ordered a 2xl.  Normally wear a 20/22.  Plenty of room,  perfect stretch and fit"
Loving it,It fits perfectly.  I bought a xl so could have a snug fit. It's not tight or anything and it stays in place. Thanks
Best price,Best one ever
Great Fit,Was very happy with this coil I thought I would not be able to find this part for such a odd engine. Thanks
????,Great protection items around the kitchen and countertops
Cheaply made,I planned to use it for the beach but it’s cheaply made. I do not feel it is sturdy.
Uneven flavor.,I love this kind of popcorn and I decided to give the bowl a try. The butter does not distribute evenly over all the popcorn (in all 12 buckets) and there’s extreme amount of salt. You’ll be satisfied at first with its buttery taste but as you get further down into the bowl there’s hardly any flavor. You also have to be on top of when it finishes popping or else the bottom of the bucket gets burnt and you risk burning your popcorn. In my opinion you got more flavor distributed in the single serving bags.
Good buy,Works well
Creative grids 5x15 ruler,Favorite brand ruler! Makes measuring and cutting quilt blocks easier
Nice shirt,Nice shirt
Doesn’t fit,Second seat I’ve bought and doesn’t fit my toilet
Duller than the 5yr old blade im replacing - bad knockoff,"The blade is not sharp at all. It's much duller than even the 5yr old one that I'm replacing, totally useless product and just a bad knock-off."
Not for everyday sitting,"Perfect for my small space, assembly required no effort very easy , sturdiness not good I have to keep tighting the screws and we only sit at it about twice a week so it shouldn't be happening"
Buen producto!,Buen producto!!!
"Best for speech, sturdy, comfy, calls so so.","As other stated the bass sounds are reduced for music, but works terrific for podcasts etc. The power on power off volume cannot be adjusted and should be turned on or off we’re not attached to your ears. It is very very loud. It is easy to have these headphones too loud when trying to override exterior noises, like on a bus or around other’s loud speech. This could result in tinnitus. However they are terrific for listening to things at low-volume without disturbing others, in bed, while they are on phone, etc. Voice to speech text does not work well with this, and background noises are amplified for persons receiving your phone call. This being said the value for money and comfort is hard to beat. It does not have a volume adjustment on the headset, but this can be completed by pushing them further forward from the years to reduce sound or slid back closer to the year to make the volume louder.  These seem very sturdy, long battery life. I have a small head and sensitive este, these don’t hurt me, very comfortable, leaves enough room behind my head to insert a forefinger yet ride well during activity.  I can also wear sunglasses with them, or one earpiece for two way radio and still get good benefit from the headphones."
Happy Customer!!! Happy Kitties!!!,Update - we decided to add a backdrop to the cat wall. We ordered a no glue mural on Amazon. I absolutely love it. Can you see the cat shelves on the wall? Can you see the cats?  Mission accomplished.
